[weather, news]	查看汕头天气 讯飞语音我想知道山东省东营市今天的新闻。
[epg, music]	今晚安徽卫视有什么节目 放一首其实我介意
[chat, poetry]	午饭怎么办 我想听首唐诗。
[epg, datetime]	蒽蒽江苏卫视有什么好节目吗？ 植树节是什么时候
[radio, video]	能不能帮我接听中广流行网 甄嬛传高清
[telephone, epg]	打电话 现在有什么好的电视剧。
[cookbook, chat]	说话，给我搜一下做苹果麦片粥是怎么做啊？ 为什么要想你
[email, translation]	替我打开新邮件 一千五英语怎么说
[cookbook, health]	土豆丝是怎么炒？ 。咳嗽
[tvchannel, music]	中央十一台 我要听还是会这首歌
[epg, video]	湖南卫视放什么节目？ 薛平贵与王宝钏
[weather, health]	沈阳今天天气 怎么治疗牛皮癣
[message, news]	发条短信给张亚东 播放最近的新闻。
[video, music]	半夜不要照镜子 我想听莫失莫忘。
[stock, weather]	截止目前银鸽投资股份的市值是多少 罗山天气
[chat]	宝宝你不是很小吗 那那个什么你真是好可爱的小猫呀
[music, tvchannel]	点播爱情买卖 打开浦口新闻综合频道
[train, music]	查一下杭州到鹰潭的火车票 来一首夜夜夜
[chat, email]	不怕啥 替我查看新邮件
[stock, cinemas]	天利 最近的新电影有哪些？
[chat]	你是猪还是牛呀 什么时候去
[poetry, epg]	搜索古诗绝句。 中央一套什么时候有建党伟业
[cookbook, chat]	到了有鲈鱼怎么做？ 你知道水吗
[train, contacts]	潍坊到济南的火车票 查寻标兵的号码
[schedule, telephone]	设置定时关机。 打电话给小女儿
[tvchannel, calc]	女性时尚 2的2次方
[epg, train]	现在有什么好看的电视剧？ 到北京的火车班次
[stock, website]	上海能源这支股票怎么样 激动
[video, weather]	赛罗奥特曼 北流的天气
[translation, video]	去你的用英文怎么说 女人的颜色六十九集
[cinemas, telephone]	给我查一下最近在播哪些电影 我想打电话给李四
[epg, video]	中央六台有什么节目 读心专家
[chat, tvchannel]	你是啥啊 我要看中央五台
[poetry, stock]	仓央嘉措的诗词。 煤炭板块股票查询
[stock, chat]	蓝鹰股票 从哪回来
[flight, website]	明天回广州的航班 浏览一下百度
[cookbook]	昌鱼的做法 我要操虾米的做法。
[cookbook]	说萝卜怎么做？ 辣酸菜鱼怎么做了。
[chat, website]	你不喜欢哪个颜色 打开三星首页
[video, website]	我想看董浩配音的动漫 幻剑书盟
[chat, poetry]	有体育方面的吗 帮我来一首兰陵王。
[calc, train]	根下25 查看滁州到南京的火车票
[chat, tvchannel]	要怎么打你 浙江台
[poetry, epg]	来一句唐诗呗！ 查查13年的一站到底
[chat, message]	哪个饭店好吃 给张克达发短信
[cookbook, chat]	坐宫保鸡丁需要哪些材料？ 笨笨我不喜欢你这个名字你可以给自己换一个么
[message, poetry]	给庄小雷发短信 搜索古诗绝句。
[chat, cookbook]	这么有趣啊 坐宫保鸡丁需要哪些材料？
[video, chat]	给我找最新的盗梦空间 你家在家还是如家
[cookbook]	啥婆豆腐的制作方法 久久鸭怎么做？
[map, chat]	到科大讯飞怎么走更快一些 怎么操作
[poetry, chat]	所以说李白的诗。 丰田车在哪里生产的？
[epg, stock]	爱笑会议室什么时候播放 股票零零零零零二
[cookbook, cinemas]	风魔炒鱼香肉丝。 给我查一下最近在播哪些电影
[app, bus]	把uc打开啊 长沙到怀化的汽车。
[telephone, cookbook]	打电话到飞云 你给我讲讲红烧肉的做法。
[chat, video]	管我什么事 胜者即是正义
[cookbook, telephone]	大闸蟹的做法。 打电话给卢静
[schedule, flight]	设置提醒。 帮我查一下明天南昌到广州的飞机票
[cookbook, poetry]	花格等蛋的做法。 背将进酒。
[riddle, music]	查个字谜。 我要听情动这首歌。
[novel, epg]	给我讲个长篇小说。 搜一下CCTV74月15号播出新编辑部的故事呢
[flight, health]	明天去深圳的飞机 得了灰指甲怎么办？
[music, datetime]	我想听只对你有感觉 看看现在几点几分
[poetry, map]	家，背首沁园春雪。 导航去科大讯飞
[epg]	电影频道明天放什么 现在电视台在放什么节目
[train, chat]	查一下苏州到洛阳的火车票 太阳像个什么
[app, novel]	启动qq浏览器 我要看游戏异界小说
[riddle, chat]	猜个谜语哦。 企鹅啥
[stock, chat]	腾讯公司的股票 你知道我几岁
[weather, cookbook]	告诉我现在北京天气怎么样 蚝油生菜的做法。
[chat, app]	你说啥了 上QQ我
[chat, translation]	完了你和多了你在哪里自己都不知道咯 茶用英语怎么说呀
[map, poetry]	广东省英德在哪里 那你爸给我背一首唐诗了。
[contacts, video]	周慧的电话。 我想看斯皮尔伯格导演的电影
[chat]	笨笨你看过片吗 啥叫换手机如换衣服啊
[schedule, epg]	本周还有什么待办事项 爱笑会议室什么时候播放
[cookbook, poetry]	葫芦鸡怎么做？ 雄关漫道真如铁下一句是什么？
[train, chat]	查询泉州到上海的动车票 你喜欢听什么歌曲
[train, chat]	查一下上海到苏州的火车票 你咋知道
[schedule, chat]	明天早晨8:10的闹钟。 北京下雨了吗你个蠢蛋
[schedule, news]	明早8:10闹钟。 请问一下军事新闻。
[epg, cinemas]	哪个电视台在演叶问。 查找卢米埃银泰电影院有播放什么好看的电影吗
[email, cookbook]	给我写一个新邮件 说话，给我搜一下做苹果麦片粥是怎么做啊？
[chat, epg]	哪个倒霉孩子给你起这个名儿 看看今天有什么好看的节目？
[train, music]	有上海到昆山的火车吗 搜索歌曲公路
[chat, tvchannel]	你需要吃东西吗 女性时尚
[novel, video]	我要看游戏异界小说 海棉宝宝
[datetime, chat]	植树节是什么时候 你愿意做娟的女朋友吗
[video, news]	我想看电影超人 播放最近新闻。
[message]	给晓琴发短信你在干吗 给何建琴发短信
[stock, video]	中国工商银行的股票 魔幻剧
[chat, app]	我女儿想去哪里 打开相机我想你
[radio, chat]	麻烦您能否帮我调频97.1汉中音乐广播电台 不怕啥
[message, cookbook]	发信息给老婆说我不回家吃饭了 炒鸡蛋，需要，哪些材料？
[stock, message]	搜索蒙牛的股市行情 给丹丹发信息我一会儿就回来别等我了
[radio, music]	能帮我收听淄博音乐广播 播放郁可唯的歌
[video, telephone]	情债 你给朴叔打电话
[video, weather]	汉武大帝 合肥明天的湿度如何
[video, chat]	看上周五的爸爸我去哪儿 为什么叫这个名字
[music, video]	唱一首两只蝴蝶。 女人的颜色六十九集
[chat, map]	呲牙你不是说你好聪明吗 湘潭到常德怎么走
[news, chat]	我想听听今天的新闻。 你怎么样会开心
[translation, health]	你去玩手机了吧用英语怎么说 胃溃疡。
[music, lottery]	想听牵手这首歌 双色球的开奖号码是多少？
[stock, chat]	宏达高科的股票跌了没有 刘一佳是谁
[video, health]	有什么新电影 包皮过长，怎么办？哦。
[schedule]	查看最近的日程 明天早晨8:10的闹钟。
[chat]	你为什么这么开心 今天天气怎么
[poetry]	李白的静夜思怎么读？ 雄关漫道真如铁下一句是什么？
[cookbook, weather]	恒宇乐活鱼怎么做的好吃的回复哦，你。 天气好不好啊
[music, video]	放首陈奕迅的十年 搜索电影晚秋
[chat]	你只会说这些吗 为什么工数大物学不会
[video, calc]	死亡复生 3的平方除以2的立方的商的倒数
[cookbook, news]	咖喱牛腩怎么做 总计今天的新闻。
[epg, chat]	什么电视台什么时间有转播仁心解码2 这是谁唱的歌？
[video, email]	90年代林心如演的电视剧 给我写一个新邮件
[video, chat]	我的幸福 微信是干啥的
[health, cookbook]	怎么治感冒？ 烤牛排怎么做？
[datetime, train]	旧金山几点几分 查一下兰州到成都的火车票
[chat, email]	你会做菜吗? 我要写条新邮件
[chat, epg]	我是你什么人 搜索湖南卫视直播。
[poetry, health]	嫁鸡随鸡下面一句是什么？ 失眠怎么办呀
[video, epg]	开心大冒险 书画频道上周六有开始非诚勿扰么
[poetry, cookbook]	背一下春晓孟浩然。 你酸辣土豆丝怎么做？
[cookbook, video]	如何做芝麻糊。 我要当八路军
[stock, poetry]	看一下中式传媒股票的涨跌幅 那就来一首李白的诗词吗？
[map, chat]	六安市飞云卫生院在哪里 我说什么
[tvchannel, message]	陕西二套 发短信给刘文说明天下午五点有聚会
[video, cookbook]	刘诗诗主演过的电影 海星的做法。
[map, epg]	查一下沿途的科大讯飞 焦点访谈什么时候播
[map, bus]	上海到苏州 上海回合肥怎么坐汽车
[stock, chat]	包钢稀土股票价格 你愿意做娟的女朋友吗
[epg, app]	看中央七频道讲武堂节目 赶集
[train]	从合肥到北京的列车 帮我查询一下温州到上海的火车
[chat, stock]	为什么要想你 上海宝钢股票
[chat, train]	漂亮和丑你是哪个 帮我查询一下温州到上海的火车
[cookbook, cinemas]	米粉怎么炒？ 搜索合肥左岸国际电影城。
[weather]	亳州天气 苍溪的天气
[app, telephone]	开启通讯录 幺三五八四四七零五零二
[chat, map]	你在哪里上学啊 宁波机场在哪里
[match, chat]	广州恒大的赛程。 呲牙你不是说你好聪明吗
[flight, translation]	查一下从南京到上海的航班 橙子的英文怎么说
[chat, cookbook]	这么聪明 土豆烧肉。
[flight, bus]	查询后天成都到伦敦的航班 从温州到西安的汽车。
[tvchannel, weather]	东方台 长春的天气
[datetime, chat]	还有多少分钟12点 可是我问你啥都听不懂啊
[poetry, music]	给我来首绝句。 播放眼色
[chat, map]	现在在哪 合肥的大润发在哪
[cookbook, schedule]	如何做煎饼。 设定闹钟。
[video, app]	最近有什么好看得 搜索京东商城
[chat]	你喜欢吃便便吗 你爸爸好吗
[message, chat]	给严巧发短信 我美么
[tvchannel, video]	远教四台 爱情公约
[tvchannel, message]	就是很想看一下大众影院 给何建琴发短信
[novel, train]	郭敬明的爱情小说《悲伤逆流成河》 明天南京到徐州的火车
[cookbook, chat]	铁板烧怎么做？ 水里有什么
[epg, datetime]	上周六发现之旅有演星跳水立方呢 植树节是什么时候
[tvchannel, app]	帮我打开c c t v五 打开会说话的汤姆猫
[map, tvchannel]	我所在地理位置 北京财经
[translation, telephone]	翻译共产党员 打电话
[cookbook, chat]	蚝油生菜的做法。 谁骂你
[health, chat]	得了灰指甲怎么办？ 你平时吃什么
[tvchannel, video]	电子竞技场 看电影啊
[tvchannel, chat]	哦我想看中央一台 嘿干嘛呢
[video, news]	来点张艺谋出演的节目 姨，最近有什么新闻。
[radio, video]	麻烦您可不可以帮我调频99.3嘉善人民广播电台 看空霸
[map, health]	查一下到长途汽车站去的最省钱的线路 近视眼怎么治疗
[schedule, epg]	取消明天的闹钟 央视三台现在播放什么节目
[telephone, video]	给万结打电话 我想看周星驰的喜剧电影喜剧之王
[weather, cookbook]	今天东莞天气如何 做面包的配方。
[telephone, video]	呼叫零二二二九一一四八六 播放神话
[train, poetry]	查下温州到杭州的火车票 那就来一首李白的诗词。
[train, cookbook]	贵阳至长沙的火车票 水果沙拉怎么做？
[music, epg]	我想听蔡依林的倒带这首歌 搜索电视剧爱情悠悠药草香在哪个频道首播？
[cookbook, weather]	酸菜鱼怎么煮啊？ 常州天气预报
[tvchannel, map]	福建电视台 华晶小学在哪里
[chat, flight]	A是什么 后天去武汉的航班
[chat, poetry]	我在韩国你在哪里 说一首唐诗吧！
[chat, flight]	谁美 从威海到苏州的飞机
[video, website]	想看韩剧 新蛋网
[riddle, weather]	脑筋急转弯呗！ 查看一下天气预报
[cookbook, telephone]	孙翠鱼怎么做？ 打电话给张志国
[map, cookbook]	从二手车市场到八一广场怎么走 鱼香肉丝，怎么做？不？
[video, poetry]	美国恐怖电影 给我来首绝句。
[poetry, chat]	来is，来一首采莲。 你研发团队有些谁
[cookbook, app]	你酸辣土豆丝怎么做？ 把我打开UC浏览器
[flight, message]	请查询一下深圳飞往上海的航班 发短信给刘文说明天下午五点有聚会
[chat, video]	我给你打电话行吗 香港杜琪峰导演的喜剧孤男寡女
[video, bus]	薛平贵与王宝钏 从聊城到东营的车。
[chat, telephone]	绿色的啥 打给曾玮文
[map, radio]	鹰潭到景德镇 调频到fm八九八
[chat, telephone]	聊不下去了怎么办 呼叫鹏鹏
[tvchannel]	帮我调转到风云音乐频道 海南旅游卫视
[video, stock]	胜女的代价电视剧 招商银行港股的股价
[epg, health]	给我查一下什么时间有播放天天向上 肾积水怎么治？
[chat, translation]	叶哲是你的谁 你怎么了英文怎么讲
[train, chat]	查查一下连江到湛江的火车票 你是不是爱上别人了
[chat, stock]	这是啥 科大讯飞昨日成交价
[chat, tvchannel]	你们好吗 西藏卫视
[translation, video]	出租车的英文怎么说 胜女的代价电视剧
[chat, train]	青蛙在做什么 从合肥到北京的列车
[video, chat]	我想看喜羊羊 你认识siri吗
[chat]	谁跟你说没对象了 白天干什么
[cookbook, weather]	久久鸭怎么做？ 奥克兰的天气
[message, chat]	给丹丹发信息我一会儿就回来别等我了 李亚丽的工作是什么
[chat, novel]	那那个什么你真是好可爱的小猫呀 我要看魔法神话小说
[telephone, cookbook]	打电话给胖头 水饺的做法。
[poetry, cookbook]	古诗长恨歌。 辣酸菜鱼怎么做了。
[video, map]	搞笑的鬼片 上海到苏州
[cookbook]	白灼菜心怎么做？ 鱼肉怎么做？
[video, stock]	想唱就唱 查寻天龙集团的股票
[chat, cookbook]	你哪人啊 松菇鸡汤的做法。
[calc, cookbook]	15加上2的平方 酸菜是怎么做的可以用塑料布。
[video, telephone]	幻影忍者 打电话给幺三二三五六二零二五五
[cookbook, map]	牛肉面，哦。 湖里公园在哪里
[music, chat]	来一首月亮惹的祸 ﻿你好慢吗！
[poetry, cookbook]	念首诗听一下。 怎么炒南瓜？
[tvchannel, chat]	老故事 笨笨生气了吗
[tvchannel, news]	中央八 讲点新闻
[music, cookbook]	我想听11年，这首歌哦。 炒鸡蛋，需要，哪些材料？
[music, novel]	我要听劝化这首歌 最近好看的小说
[chat, weather]	你好女儿这几天有空整理了一下日本她想去的地方麻烦看一下去这些地方大约几天是否可行报价多少非常感谢 宁波天气情况
[stock, tvchannel]	查寻科大讯飞的股 江苏影视
[map, video]	湖里公园在哪里 中国合伙人
[chat, tvchannel]	怎么不懂讲晚安呢 哦我想看中央一台
[cookbook, chat]	猪舌头怎么做比较啊子？ 可是我问你啥都听不懂啊
[chat, cookbook]	你不是猪吗 豆腐花的做法。
[video, cookbook]	铁甲威虫 有什么特色美食。
[chat, tvchannel]	蒋能能是谁 我要看下中央六套
[video, cookbook]	我想看斯皮尔伯格导演的电影 故宫鱼怎么做？
[chat, app]	你咋知道 把uc打开啊
[video, cookbook]	乌鸦二电视没 说萝卜怎么做？
[lottery, video]	我要买彩票。 中国新声代
[weather, cookbook]	明天赣州什么天气 葱爆羊肉的做法。
[news, cookbook]	零七播报新闻。 葱烧海参怎么做
[chat]	谁为含愁独不见 为什么叫这个名字
[tvchannel, chat]	浙江台 你喜欢喝什么茶呀
[chat, train]	一年和吗 查看滁州到南京的火车票
[poetry, flight]	唐寅的诗。 查询广州到海南的航班
[cookbook, datetime]	西兰花怎么做？ 还有多少天过年
[stock, telephone]	讯飞科技股票价格 四八七三一六六
[cinemas, video]	最近有什么新片子？ 开心大冒险
[chat, news]	你来自哪个星球 今天东莞新闻。
[cinemas, cookbook]	那你查一下最近的热门电影是什么？ 意大利面。
[website]	进入讯飞官网 赶集网
[message, chat]	给刘三发短信说我今天没有空 你能帮我写作业吗
[weather, email]	武汉的明天天气 替我查看新邮件
[website, flight]	苏宁易购 明天去深圳的飞机
[cookbook, chat]	披萨的做法 谁骂你
[message, video]	发短信给张三我明天去北京 甄嬛传高清
[chat, app]	你出生在哪 打开qq找杨佳艺
[cookbook, chat]	猪肉怎么做？ 干嘛去？
[novel, train]	搜索小说校园全能高手。 广州到南宁的火车
[tvchannel, epg]	宁波一台 周二电影。
[calc, datetime]	54的立方再加上35 还有多少天过年
[train, map]	查一下那个南京到昆明的火车 我们现在在什么地方
[contacts, chat]	新建联系人买当唠4008 517517 你想他干嘛
[weather, app]	天气桂林 把uc打开啊
[match, schedule]	中超A组比赛结果分别是多少 设定闹钟。
[epg, poetry]	东方高清台的节目单 搜索古诗绝句。
[chat]	我在想怎么回去比较好 那你现在可以干啥
[app, telephone]	搜索声控安卓软件 打电话给幺三二三五六二零二五五
[train, weather]	帮我查一下洛阳到赣州的火车 巴中的天气
[train, health]	查询安阳到郑州的动车 甲亢。
[chat]	你成长了多少 你睡午觉吗
[cookbook, email]	牛骨汤 我想写一个新邮件
[video, chat]	搜索逃学威龙第二部 有什么钱
[novel, health]	我要看魔幻学院小说 得了灰指甲怎么办？
[poetry, video]	读一首唐诗。 看上周五的爸爸我去哪儿
[train, health]	查一下到洛阳的高铁 甲亢怎么办？
[weather, map]	天气好不好啊 到郑州火车站
[chat, novel]	怎么调用QA 郭敬明的爱情小说《悲伤逆流成河》
[stock, cookbook]	科大讯飞昨日成交价 番红烧肉的做法。
[chat]	你觉得脚踏两只船怎么样 你来自哪个星球
[video, epg]	北疆战士 爱笑会议室什么时候播放
[website, chat]	现在打开你的官网 你研发团队有些谁
[message, chat]	发短信给幺零零八六内容是十一 汪进祥怎么样
[cookbook, flight]	我想知道皮蛋瘦肉粥是怎么做的 济南到汉中的飞机票
[chat, cookbook]	库里是不是傻 馄炖怎么做？
[translation, chat]	我今天去北京了英语怎么说 我是学渣吗
[cookbook, match]	白切鸡怎么做啊？ 我想看足球中超，第25轮的比赛时间。
[datetime, video]	现在几号 李瑞英主持的最新的新闻节目
[poetry, train]	锄禾日当午，下面一句是什么？ 查一下南昌到南京的火车
[train, chat]	广州到南宁的火车 现在不是这个时候大好吗我的大还有没有什么时光网
[cookbook, translation]	麻辣烫做法。 香蕉用英语怎么讲
[map, telephone]	宁波机场在哪里 呼叫鹏鹏
[contacts, poetry]	把许琦彪的号码发给徐鹏 诗词满江红。
[video, datetime]	最近有什么影片？ 哪天清明节
[epg, music]	河南卫视节目单。 放歌，天亮了。
[poetry]	给我背个李白的诗。 说一首唐诗吧！
[cookbook, weather]	你真笨，是四喜丸子怎么做了。 天气南京
[video, news]	查询神鬼认证 总计今天的新闻。
[flight, riddle]	7月30号去深圳的航班。 爆笑谜语
[music]	特莫文蔚的阴天。 搜索电视剧插曲
[music, chat]	播放眼色 那我要怎么做
[chat, telephone]	怎么对 听电话
[cookbook, radio]	冷面的做法。 能不能帮我接听中广流行网
[video, website]	智慧树 但是我想上腾讯网
[message, video]	给德师傅发短信 刘三姐
[video, weather]	小兵张嘎电影儿 苍溪的天气
[chat]	你都会啥啊 你认识吗
[epg, video]	查查13年的一站到底 狄仁杰之通天帝国视频
[tvchannel, lottery]	AXN 我要购买七乐彩
[video, map]	我想看周星驰的喜剧电影喜剧之王 导航到建八路
[chat, news]	我说什么 零七播报新闻。
[poetry, cookbook]	朗读咏雪 麻辣烫做法。
[cookbook, chat]	排骨怎么弄才好吃？ 你需要吃东西吗
[tvchannel, novel]	切换到a t v 搜索小说校园全能高手。
[music, telephone]	我想听求佛。 打电话给小女儿
[cookbook, video]	陈醋排骨的做法。 播放神话
[message, cookbook]	发信息给许路雨 草莓芒果西米露。
[chat, poetry]	你都能回答我什么问题 江山有奇峰，下一句。
[weather, novel]	帮我查一下赣州的天气明天呢 查找校园小说沙漏第二部
[map, poetry]	带我去丹阳市眼镜市场 满园花菊郁金黄的下一句是什么？
[chat, map]	图灵机器人也不知道是什么耶 查一下到长途汽车站去的最省钱的线路
[riddle, chat]	也来个灯谜吗？ 麻辣串应该是四川的吧不是哈尔滨的哈尔滨应该吃的是不胖葫芦吧对不对还是北京啊
[calc, website]	3的平方除以2的立方的商减去4的平方根的立方 打开三星首页
[flight, poetry]	查寻合肥到北京的航班 不是花中偏爱菊的下一句是什么？
[video, novel]	劲爆在车 最近好看的小说
[chat, contacts]	你谈过吗 新建联系人买当唠4008 517517
[map, datetime]	导航到山东省菏泽市王浩屯镇 看看现在几点几分
[website, cookbook]	摩尔勇士 卤猪蹄怎么做？
[health, stock]	白带异常。 查下银星能源股票
[poetry, music]	背将进酒。 听时间煮雨这首歌
[chat, telephone]	你爸爸好吗 打电话给小女儿
[chat]	都有啥啊 现在不是这个时候大好吗我的大还有没有什么时光网
[tvchannel, lottery]	安徽综艺 搜索七乐彩的公示号码
[epg, chat]	看看今天有什么好看的节目？ 从哪回来
[message, music]	发短信给叶少云晚上要不要出去玩 给我随便来几首歌
[news, cookbook]	听新闻，姨。 然后等你杀猪菜怎么做？
[cookbook]	腊鱼。 葱爆羊肉的做法。
[message, cinemas]	发短信给贤想快点给我送早饭开门我饿死了 电影院有什么电影？
[video, poetry]	歧路兄弟 再来背一首毛泽东的诗词。
[website, chat]	但是我想上腾讯网 笨笨真的会聊天吗
[health, email]	沙眼。 替我打开新邮件
[news, message]	钓鱼岛事件。 给原波发短信
[video, chat]	最近有什么好电影吗？ 你是男机器人还是女机器人
[chat, flight]	哎，你还是没有上下文啊 帮我查一下广州到长沙的航班
[email, music]	帮我写个邮件 我要点一首小星星
[lottery, video]	我要购买七乐彩 胜者即是正义
[epg, chat]	湖南卫视娱乐节目。 你的性别是什么
[video]	请帮我放一下剩女保镖 电影中国合伙人
[novel, message]	《武动乾坤》 给小阳发短信
[chat]	谁傻 我是学渣吗
[video, train]	妈妈的花样年华 厦门到赣州的火车票
[email, tvchannel]	我要回复这条邮件 江苏教育台
[map, cookbook]	华晶小学在哪里 怎么做炸鸡腿？
[cinemas, music]	有没有新出的电影了。 我想听只对你有感觉
[radio, video]	调幅am六百二十八 陈真
[poetry, chat]	李白的诗词 散货演绎的作者是谁？
[chat]	你怎么知道我不知道 你读几年级了
[video, news]	独立纵队电视剧 有什么重要新闻吗？
[contacts, train]	查看婷婷的号码 广州到南宁的火车
[stock, telephone]	我要查股票 给万结打电话
[poetry, flight]	来一首纳兰性德的词。 帮我查一下杭州到长春的飞机航班
[bus, weather]	从合肥到上海可以到哪坐车？ 常州天气预报
[train, contacts]	贵溪至泉州的火车票 添加一条通讯录姓名葛勇手机号码189571642496
[app, news]	有道词典 播放最近新闻。
[cinemas, news]	搜索一下热门电影。 有什么重要新闻吗？
[chat, match]	你的啥啊 广州恒大的赛程。
[cookbook, flight]	西红柿炒蛋怎么煮？ 明天回广州的航班
[cookbook, chat]	卤猪蹄怎么做？ 青蛙在做什么
[lottery, music]	帮我查一下15选5开奖结果 我想听11年，这首歌哦。
[map, app]	到公园怎么走 帮我开捕鱼达人
[map, stock]	从连云港到北京该怎么走 上海宝钢股票
[chat]	卧槽一个答非所问的AI有什么用 那你梦想是什么呢
[cookbook, train]	鱼肉怎么做？ 帮我查一下赣州到杭州的火车票
[message, cookbook]	发送短信给东莞李月华就说今天赶紧回来 做面包的配方。
[cookbook, message]	干锅排骨怎么做？ 发短信给幺五八三七五幺幺幺四幺
[chat, cookbook]	啥时候长大啊 土豆粉怎么做？
[tvchannel, epg]	西藏卫视 看看今天有什么好看的节目？
[music, cookbook]	我想听周杰伦的菊花台 到了有鲈鱼怎么做？
[chat, app]	那你最爱的人是谁 搜狗
[app, poetry]	打开个性闹钟 ok好，来首李白的诗词。
[music, datetime]	播放断点 现在星期几
[novel, health]	我要看校园小说致我们终将逝去的青春 怎么治疗牛皮癣
[video, radio]	大头儿子小头爸爸 帮我调频92.4中国国际广播电台行不行？
[riddle, message]	爆笑谜语 给杨燕姐发短信
[chat]	你不是人吧我怎么觉得你是人呢 对了吗
[train, bus]	枣庄到淄博的火车票 从杭州到黄山的汽车。
[tvchannel, cookbook]	中国教育电视台三台 馄炖怎么做？
[website, chat]	看网易财经 你忍心吗
[news, message]	我想今天新闻最近有什么新的新闻？ 给杨斌发短信
[cookbook, match]	有什么特色美食。 广州恒大的赛程。
[calc, message]	十二与32的积是多少 给杨斌发短信
[tvchannel, bus]	CCTV6电影高清 济南去聊城的汽车。
[cookbook, video]	夫妻肺片怎么做？ 杨幂演的恐怖片
[music, cookbook]	播放老婆最大。 瞌睡鱼怎么做？
[bus, video]	济南去聊城的汽车。 智慧树
[chat, map]	为什么欺负你 讯飞语点我现在在哪里
[weather, poetry]	鄱阳县的天气 我背一下春晓。
[flight, weather]	南昌到广州飞机票 查一下明天福州的天气
[video, stock]	看动物卡通 搜索中国移动的股市行情
[video, match]	换到米老鼠 7月13号广州恒大俱乐部的比赛有哪些
[chat, contacts]	笨笨生气了吗 新建联系人张三电话号码一二三四五
[flight, chat]	从威海到苏州的飞机 我没去哪儿啊
[train, message]	后天上海到烟台的火车 我现在要发一条信息
[chat, lottery]	然后你转了么 查看大乐透玩法的开奖
[chat, poetry]	想去哪 分手时，背一首诗吧？
[chat, lottery]	力气大的蚂蚁在干什么 大乐透的开奖情况
[poetry, cookbook]	江山有奇峰，下一句。 怎样蒸排骨最好吃的。
[website, poetry]	上百度网站 何以解忧的下一句是什么？
[chat, music]	你喜欢有钱人吗 给我来首好听的音乐
[website, chat]	聚友网 还是不用了吧
[weather, chat]	临沂的天气 林芝吃什么
[poetry, app]	你给我念一首李白的诗。 钛备份
[chat]	谁在买扇子 你希望我分手吗
[chat, video]	这个新闻有意思吗 花开半夏
[video, map]	英雄本色电影 我们现在在什么地方
[weather, calc]	我想知道深圳明天的天气 2平方
[chat, stock]	卖啥呀 美菱电器的昨日收盘价是多少
[contacts, website]	黄狼。 进入讯飞官网
[video, music]	最近的科幻大片儿，有什么？ 播放歌曲再见青春
[chat, poetry]	你是不是被我弄疯了 背首绝句的。
[tvchannel, chat]	打开珠江台 哪有雪
[stock, poetry]	查寻天龙集团的股票 我要听李白的诗。
[health, epg]	。咳嗽 今晚安徽卫视有什么节目
[news, tvchannel]	加，听新闻。 我要看中央五台
[chat, train]	你还能做什么 帮我查一下广州到深圳的火车
[poetry, stock]	哪里香我来一首李白的诗。 章源钨业
[lottery, map]	搜索七乐彩的公示号码 去汽车南站怎么走
[contacts, cookbook]	新建联系人王满秀幺三七 六四零七零二九五 水饺的做法。
[chat, translation]	企鹅啥 我今天去北京了英语怎么说
[music, chat]	给我随便来几首歌 我说什么
[datetime, chat]	看看现在几点几分 你睡午觉吗
[news, message]	多想听新闻，哦。 发短信给幺五八三七五幺幺幺四幺
[news, flight]	请给我讲一下今天的新闻吧！ 查一下从南京到上海的航班
[chat, cookbook]	你认识微软小冰吗 我要操虾米的做法。
[bus, cookbook]	请查询天津市到哈尔滨的车。 酸菜是怎么做的可以用塑料布。
[chat]	不想上班怎么办 你喜欢听什么歌曲
[bus, map]	从温州到西安的汽车。 帮我找到去安徽黄山的路
[chat, novel]	你有绳命吗 我要看古言小说
[cookbook]	怎么样？做红烧肉。 草虾尾怎样做。
[cookbook]	嘉兴粽子。 如何做煎饼。
[cookbook, poetry]	人造鸡蛋的配方。 仓央嘉措的诗词。
[chat, tvchannel]	我说不怎么喜欢吃辣的 吉林电视台
[health, flight]	包皮过长怎么办啊？你。 济南到汉中的飞机票
[telephone, chat]	给小鱼打电话 我帮妈妈洗什么
[stock, cookbook]	青岛海信股票 自演艺，羊肉怎么做？
[cookbook, weather]	酸菜鱼怎么做啊 大连天气
[cookbook, video]	黑菜扣肉的做法告诉我一下啊！ 蓝精灵电影
[health, chat]	近视眼怎么治疗 男朋友总借钱怎么办
[map, video]	松江钢材城在哪里 我想看周星驰的喜剧电影喜剧之王
[chat, contacts]	我前任男朋友你猜是什么职业 新建联系人18622625490
[flight, poetry]	查询厦门到武夷山的航班 何以解忧的下一句是什么？
[chat, match]	微信是干啥的 中超比赛，结果。
[chat, telephone]	你能干嘛？ 给幺零零幺零打电话
[lottery, telephone]	看一看大乐透的信息 四八七三一六六
[chat, stock]	对了吗 搜索中国移动股票
[calc, chat]	2的2次方 那你梦想是什么呢
[schedule, poetry]	另一个8:10的闹钟。 那你背首唐诗给我听。
[weather, tvchannel]	洛阳的天气 打开珠江台
[tvchannel]	高淳转播2 打开珠江台
[cookbook, video]	炒四季豆。 2013年的警匪电视剧
[video, website]	地心历险记二 把我打开淘宝的网页
[map, tvchannel]	移动公司在哪里呀 北京财经台
[chat]	刘一佳是谁 你怎么不害羞呀
[message, video]	给姐姐发短信我今天晚上晚点回去你就别等我吃饭 看乡村爱情
